ORDER #,CUSTOMER #,INVOICE DATE,QTY SHIPPED,ITEM #,ITEM PRICE
21035,4SOUHC,2015-03-27,1.0,AAM27QPR9JA7BN,2500.0
21035,4SOUHC,2015-03-27,3.0,0112004B04,90.0
21035,4SOUHC,2015-03-27,1.0,IS50NXC2,62.0
21035,4SOUHC,2015-03-27,1.0,815342006,165.9
21035,4SOUHC,2015-03-27,1.0,FRX450,240.0
21035,4SOUHC,2015-03-27,1.0,MISC100,100.0
21035,4SOUHC,2015-03-27,1.0,DSCP10725TUNED,450.0
21035,4SOUHC,2015-03-27,1.0,TOWER,750.0
20866,7EMMCC,2015-02-27,3.0,0180351A98,25.0
21035,4SOUHC,2015-03-27,1.0,HKLN4456,250.0
20866,7EMMCC,2015-02-27,2.0,RFT12022,6.0
20866,7EMMCC,2015-02-27,2.0,TRAB4503,70.0
20866,7EMMCC,2015-02-27,1.0,293100,5.25
21137,1EATSD,2015-01-23,6.0,AAM25RKF9DP6,704.0
21144,1POKPP,2015-02-06,2.0,EGHST1J,130.0
21144,1POKPP,2015-02-06,1.0,MISC25,25.0
21159,*700,2015-01-23,4.0,AAM28QPC9KA1,599.0
21167,6SBRAD,2015-02-06,2.0,EPL9000-54,1350.0
21167,6SBRAD,2015-02-06,2.0,ETSP6F,80.0
20866,7EMMCC,2015-02-27,1.0,GPSU15M,82.0
20987,4BERSH,2015-01-23,1.0,LPX53,1375.0
20866,7EMMCC,2015-02-27,1.0,GPDE604513005,3015.0
20866,7EMMCC,2015-02-27,1.0,CCC5913S020,50.0
21144,1POKPP,2015-02-06,1.0,S10,35.0
21218,4STJOS,2015-01-23,1.0,CCMC18,425.0
21218,4STJOS,2015-01-23,1.0,ACINBHG,50.0
21218,4STJOS,2015-01-23,1.0,ACSIDEARM6,90.0
21218,4STJOS,2015-01-23,1.0,CMMCMTSALT17,525.0
21218,4STJOS,2015-01-23,1.0,MISC50,50.0
21218,4STJOS,2015-01-23,1.0,PA1580-1921,149.0
21218,4STJOS,2015-01-23,1.0,CGX,99.0
21309,4VANCS,2015-02-06,1.0,PB47UINT13,280.0
21022,1GHDPS,2015-02-27,1.0,F5218A,2076.0
21022,1GHDPS,2015-02-27,1.0,1409320100,1490.0
21022,1GHDPS,2015-02-27,1.0,3YRWTYFUSION,250.0
21388,4SOUHC,2015-02-27,20.0,AAH01QDC9JA2,425.0
21387,1HAMFD,2015-01-23,3.0,AAM01JQH9JC1,480.0
21387,1HAMFD,2015-01-23,3.0,2880376E84,5.75
21137,1EATSD,2015-01-23,6.0,425-6303,31.0
21462,6SBRAD,2015-02-06,1.0,EPL9000-54,1350.0
21462,6SBRAD,2015-02-06,1.0,ETSP6F,80.0
21483,1ALPEF,2015-02-06,1.0,AAM79KTD9PW5,1350.0
21486,1GERBP,2015-01-23,2.0,AAH01QDC9JA2,435.0
21486,1GERBP,2015-01-23,2.0,QA00531,70.0
21486,1GERBP,2015-01-23,8.0,NNTN4497,70.0
21488,1BRIMY,2015-01-23,4.0,AAH55QDH9LA1,759.0
21487,1KAMPS,2015-02-13,3.0,AAM02QNH9JA1,520.0
21487,1KAMPS,2015-02-13,3.0,0180352A11,12.0
21487,1KAMPS,2015-02-13,3.0,0180355A80,28.5
21489,4BERSH,2015-03-27,1.0,AAM01JQH9JC1,475.0
21489,4BERSH,2015-03-27,1.0,HLN9457,6.0
21489,4BERSH,2015-03-27,1.0,RSN4001,66.0
21489,4BERSH,2015-03-27,1.0,TAD6113,19.5
21490,*700,2015-01-30,2.0,AAH56JDN9KA1,842.5
21491,1FOURW,2015-01-23,150.0,PMNN4077,81.75
21493,1MCOOP,2015-01-09,1.0,500,425.0
21494,1HANBT,2015-01-23,1.0,AAH01QDC9JA2,466.0
21496,1GERBP,2015-01-30,10.0,AAH01QDC9JA2,399.99
21496,1GERBP,2015-01-30,12.0,NNTN4497,70.0
21498,1GORFO,2015-02-13,1.0,AAH01QDC9JC2,400.0
21498,1GORFO,2015-02-13,6.0,NAE6522,12.25
21498,1GORFO,2015-02-13,2.0,PMMN4013,73.5
21504,4STUFD,2015-02-06,4.0,AAH55JDH9LA1,795.0
21505,1NEWEF,2015-01-23,5.0,PMMN4013,73.5
21505,1NEWEF,2015-01-23,6.0,PMAD4025,17.83
21505,1NEWEF,2015-01-23,1.0,WPLN4138,57.75
