,customer,invoice_date,qty_shipped,item,description,item_price,customer,industry,contact_owner,lifetime_sales,first_sale,county,market_opportunity,%_market_opp
2290,1PERRI,2015-12-31,1.0,SEC1223MT,SAMLEX POWER SUPPLY,160.46,1PERRI,Manufacturing,Kelly Hoek,431948.95,3/20/2014,Allegan,318656.0,0.149
2291,1MERAM,2015-12-23,1.0,12312-19-10.5-R,"Evo Storm 8""",144.99,1MERAM,Fire & EMS,Skip Petrovich,220080.87,11/01/1999,Kent,1601574.0,0.421
2295,1DORFD,2015-12-31,2.0,A03JAC9JA1,MOTO M6 PAGER 143-174 MHZ,441.0,1DORFD,Fire & EMS,Keith Johnson,13837.47,11/01/1999,Allegan,318656.0,0.149
2296,4EDWFD,2015-12-31,1.0,AAM28JQC9KA1,XPR5350 MOBILE VHF 45W 32CH,592.0,4EDWFD,911 & Dispatch,Tom Gillespie,27984.04,11/01/1999,Cass,121875.0,0.073
2297,4BERSH,2015-12-31,1.0,KE21S,SETCOM HALF HELMET KIT,270.0,4BERSH,Government Services,Tom Gillespie,563431.43,11/01/1999,Berrien,510290.0,0.291
2302,1FOUFD,2016-01-29,2.0,A03JAC9JA2,MOTO MIN VI PAGER VHF 143-174,474.0,1FOUFD,Fire & EMS,Pat McBride,6310.5,3/26/2004,Mason,88198.0,0.362
2303,4VANCS,2015-12-31,1.0,LPX45D,"FED SIG DISCRETE LPX 45"" LB",1200.0,4VANCS,Law Enforcement,Tom Gillespie,99481.98,11/01/1999,Van Buren,165946.0,0.257
2304,4VANCS,2015-12-31,1.0,LPX45D,"FED SIG DISCRETE LPX 45"" LB",1200.0,4VANCS,Law Enforcement,Tom Gillespie,99481.98,11/01/1999,Van Buren,165946.0,0.257
2305,4VANCS,2015-12-31,1.0,LPX45D,"FED SIG DISCRETE LPX 45"" LB",1200.0,4VANCS,Law Enforcement,Tom Gillespie,99481.98,11/01/1999,Van Buren,165946.0,0.257
2306,7CCECD,2015-12-30,1.0,85009298003,CAMBIUM 800 3' HP ANTENNA,1650.0,7CCECD,911 & Dispatch,Jessica Spindler,1011834.96,11/01/1999,Emmet,80040.0,0.131
2307,7CCECD,2015-12-30,1.0,85009298003,CAMBIUM 800 3' HP ANTENNA,1650.0,7CCECD,911 & Dispatch,Jessica Spindler,1011834.96,11/01/1999,Emmet,80040.0,0.131
2308,1VALTP,2015-12-31,10.0,QA02773,ADD:IMPRESS WINDPORTING RSM,70.0,1VALTP,Manufacturing,Skip Petrovich,27666.61,11/01/1999,Kent,1601574.0,0.421
2309,1MAGNA,2015-12-31,10.0,PMLN6588,MULTI UNIT CHARGER FOR CP200,369.75,1MAGNA,Manufacturing,Kelly Hoek,71257.75,12/22/2003,Ottawa,825673.0,0.309
2310,1MAGNA,2015-12-31,62.0,NNTN4497,LIION BATTERY 2190 MAH,72.25,1MAGNA,Manufacturing,Kelly Hoek,71257.75,12/22/2003,Ottawa,825673.0,0.309
2311,1MAGNA,2015-12-31,62.0,QA00531,MICROPHONE OPTION (PMMN4013),62.48,1MAGNA,Manufacturing,Kelly Hoek,71257.75,12/22/2003,Ottawa,825673.0,0.309
2314,1MAGNA,2015-12-31,75.0,LMR400,"TIMES MICROWAVE 3/8"" COAXIAL",1.1,1MAGNA,Manufacturing,Kelly Hoek,71257.75,12/22/2003,Ottawa,825673.0,0.309
2315,1EATSD,2015-12-31,10.0,AAH25SDF9AA5,HT1250 UHF 128CH DISPLAY LKP,200.0,1EATSD,Law Enforcement,Skip Petrovich,19627.32,12/20/2007,Eaton,365290.0,0.12
2316,1DEHGR,2015-12-31,2.0,AAH25SDF9AA5,HT1250 UHF 128CH DISPLAY LKP,200.0,1DEHGR,Agriculture,Skip Petrovich,2383.6,3/08/2004,Kent,1601574.0,0.421
2321,7CCECD,2015-12-31,1.0,PORTA-JON,MAY 2015,150.0,7CCECD,911 & Dispatch,Jessica Spindler,1011834.96,11/01/1999,Emmet,80040.0,0.131
2322,7CCECD,2015-12-31,1.0,PORTA-JON,JUNE 2015,150.0,7CCECD,911 & Dispatch,Jessica Spindler,1011834.96,11/01/1999,Emmet,80040.0,0.131
2323,7CCECD,2015-12-31,1.0,PORTA-JON,JULY 2015,150.0,7CCECD,911 & Dispatch,Jessica Spindler,1011834.96,11/01/1999,Emmet,80040.0,0.131
2324,7CCECD,2015-12-31,1.0,PORTA-JON,AUG 2015,150.0,7CCECD,911 & Dispatch,Jessica Spindler,1011834.96,11/01/1999,Emmet,80040.0,0.131
2325,7CCECD,2015-12-31,1.0,PORTA-JON,SEPT 2015,150.0,7CCECD,911 & Dispatch,Jessica Spindler,1011834.96,11/01/1999,Emmet,80040.0,0.131
2326,7CCECD,2015-12-31,1.0,PORTA-JON,OCT 2015,150.0,7CCECD,911 & Dispatch,Jessica Spindler,1011834.96,11/01/1999,Emmet,80040.0,0.131
2327,7CCECD,2015-12-31,1.0,7%,CONSTRUCTION MANG FEE,63.0,7CCECD,911 & Dispatch,Jessica Spindler,1011834.96,11/01/1999,Emmet,80040.0,0.131
2337,1GRTFD,2016-01-29,6.0,A03JAC9JA2,MOTO MIN VI PAGER VHF 143-174,392.25,1GRTFD,Fire & EMS,Keith Johnson,19945.97,11/01/1999,Ottawa,825673.0,0.309
2338,1GRTFD,2016-01-29,12.0,RLN6509,MOTO CARRY ACCESSORY BELT CLIP,8.33,1GRTFD,Fire & EMS,Keith Johnson,19945.97,11/01/1999,Ottawa,825673.0,0.309
2339,1GRTFD,2016-01-29,6.0,PMNN4451,MOTO BATT PACK LIION IP56,13.6,1GRTFD,Fire & EMS,Keith Johnson,19945.97,11/01/1999,Ottawa,825673.0,0.309
2340,1COLQF,2016-01-29,3.0,AAH01QDC9JC2,CP200D UHF 4W ND ANALOG,435.0,1COLQF,Manufacturing,Pat McBride,23107.09,11/01/1999,Muskegon,281690.0,0.176
2341,1COLQF,2016-01-29,3.0,NNTN4497,LIION BATTERY 2190 MAH,75.0,1COLQF,Manufacturing,Pat McBride,23107.09,11/01/1999,Muskegon,281690.0,0.176
2342,1ALLFD,2016-01-29,2.0,A03JAC9JA1,MOTO M6 PAGER 143-174 MHZ,441.0,1ALLFD,Fire & EMS,Keith Johnson,14181.74,9/09/2005,Ottawa,825673.0,0.309
2343,1ROSCA,2016-02-12,2.0,AAH01QDC9JA2,CP200D UHF 4W ND,465.0,1ROSCA,Manufacturing,Skip Petrovich,62902.0,4/13/2011,Kent,1601574.0,0.421
2344,1ROSCA,2016-02-12,2.0,PMMN4013,REMOTE SPEAKER MIC,73.5,1ROSCA,Manufacturing,Skip Petrovich,62902.0,4/13/2011,Kent,1601574.0,0.421
2345,1HAWOR,2016-02-19,4.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,799.0,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
2346,1SUNMA,2016-02-08,1.0,AAH81QCN9NA2,MOTO SL7550 403-470 2W BT/GOB,799.0,1SUNMA,Healthcare,Kelly Hoek,64147.13,11/01/1999,Ottawa,825673.0,0.309
2347,1HOLGA,2016-02-08,2.0,AAM28QPN9KA1,XPR5550 UHF MOBILE 40W 1000CH,683.4,1HOLGA,Agriculture,Kelly Hoek,33410.67,11/01/1999,Ottawa,825673.0,0.309
2348,1HOLGA,2016-02-08,11.0,AAM28QPC9KA1,XPR5350 UHF MOBILE 40W 32CH,571.2,1HOLGA,Agriculture,Kelly Hoek,33410.67,11/01/1999,Ottawa,825673.0,0.309
2349,1HOLGA,2016-02-08,1.0,AAM28QPN9KA1,XPR5550 UHF MOBILE 40W 1000CH,683.4,1HOLGA,Agriculture,Kelly Hoek,33410.67,11/01/1999,Ottawa,825673.0,0.309
2350,1HOLGA,2016-02-08,1.0,SEC1223-XPR5000,SAMLEX POWER SUPPLY XPR5000,148.75,1HOLGA,Agriculture,Kelly Hoek,33410.67,11/01/1999,Ottawa,825673.0,0.309
2351,1HOLGA,2016-02-08,1.0,0183938B06,ANTENNA ROD  450-470 MHZ,42.5,1HOLGA,Agriculture,Kelly Hoek,33410.67,11/01/1999,Ottawa,825673.0,0.309
2352,1SMGDV,2016-03-31,4.0,AAH02RDH9JA2,XPR3500 403-512 128CH LKP,520.0,1SMGDV,Hospitality,Skip Petrovich,10664.51,4/05/2004,Kent,1601574.0,0.421
2353,1SMGDV,2016-03-31,1.0,PMNN4406,MOTO BATT ST IP67 LION 1500M,66.0,1SMGDV,Hospitality,Skip Petrovich,10664.51,4/05/2004,Kent,1601574.0,0.421
2354,1HOLGA,2016-02-08,13.0,HAE4003,MOTO UNITY GAIN ANT KIT,18.28,1HOLGA,Agriculture,Kelly Hoek,33410.67,11/01/1999,Ottawa,825673.0,0.309
2355,1SMGDV,2016-03-31,1.0,PMAE4070,"ANTENNA,UHF STUBBY 440-490 MHZ",9.5,1SMGDV,Hospitality,Skip Petrovich,10664.51,4/05/2004,Kent,1601574.0,0.421
2356,1SMGDV,2016-03-31,1.0,PMAE4079,MOTO UHF SLIM WHIP ANT 403-527,9.5,1SMGDV,Hospitality,Skip Petrovich,10664.51,4/05/2004,Kent,1601574.0,0.421
2357,1FRECO,2016-01-29,1.0,AAH01QDC9JC2,CP200D UHF 4W ND ANALOG,415.0,1FRECO,Agriculture,Pat McBride,9394.38,4/12/2001,Newaygo,94629.0,0.167
2358,1FRECO,2016-01-29,1.0,NNTN4497,LIION BATTERY 2190 MAH,88.0,1FRECO,Agriculture,Pat McBride,9394.38,4/12/2001,Newaygo,94629.0,0.167
2359,1FRECO,2016-01-29,1.0,PMMN4013,REMOTE SPEAKER MIC,73.5,1FRECO,Agriculture,Pat McBride,9394.38,4/12/2001,Newaygo,94629.0,0.167
2360,7MACIO,2016-01-29,1.0,MISC50,MISCELLANEOUS HARDWARE,50.0,7MACIO,Government Services,Jessica Spindler,23082.35,1/24/2002,Manistee,62275.0,0.39
2361,7MACIO,2016-01-29,1.0,HKN9327,MOTO IGNITIONS SENS KIT,15.0,7MACIO,Government Services,Jessica Spindler,23082.35,1/24/2002,Manistee,62275.0,0.39
2362,7MACIO,2016-01-29,1.0,AAM01JQC9JA1,MOTO CM200D 136-174 45W MOBILE,515.0,7MACIO,Government Services,Jessica Spindler,23082.35,1/24/2002,Manistee,62275.0,0.39
2363,1VANAI,2016-01-29,1.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,880.0,1VANAI,Healthcare,Skip Petrovich,25907.89,10/25/2004,Kent,1601574.0,0.421
2364,1VANAI,2016-01-29,1.0,PMMN4024,REMOTE SPEAKER MIC,78.0,1VANAI,Healthcare,Skip Petrovich,25907.89,10/25/2004,Kent,1601574.0,0.421
2365,1VANAI,2016-01-29,1.0,RLN4941,REC ONLY EARPIECE,58.0,1VANAI,Healthcare,Skip Petrovich,25907.89,10/25/2004,Kent,1601574.0,0.421
2367,7EMSHR,2016-04-22,1.0,AAM01JQH9JC1,MOTO CM300D VHF 45W DASH MT,495.0,7EMSHR,Law Enforcement,Jessica Spindler,253015.27,11/01/1999,Emmet,80040.0,0.131
2368,7EMSHR,2016-04-22,1.0,HKN9327,MOTO IGNITIONS SENS KIT,15.0,7EMSHR,Law Enforcement,Jessica Spindler,253015.27,11/01/1999,Emmet,80040.0,0.131
2369,4WYCCH,2016-01-29,2.0,AAH56RDC9KA1,XPR7350 UHF PORTABLE 4W 32CH,817.5,4WYCCH,Manufacturing,Tom Gillespie,46905.21,11/01/1999,Van Buren,165946.0,0.257
2371,1GTPAV,2016-01-29,2.0,AAH84RCS8AA1,BPR40 UHF 450-470 8CH 4W,187.5,1GTPAV,Healthcare,Jessica Spindler,8152.46,9/30/2009,Grand Traverse,215459.0,0.205
2372,1GTPAV,2016-01-29,2.0,PMNN4071,MAG ONE BATT 1200MAH,26.25,1GTPAV,Healthcare,Jessica Spindler,8152.46,9/30/2009,Grand Traverse,215459.0,0.205
2373,7CCECD,2016-01-29,1.0,FAA MDOT,FAA/MDOT FILING AND ENGINEERIN,150.0,7CCECD,911 & Dispatch,Jessica Spindler,1011834.96,11/01/1999,Emmet,80040.0,0.131
2374,7CCECD,2016-01-29,1.0,TR ENG SV,TELE-RAD ENGINEERING AND SITE,300.0,7CCECD,911 & Dispatch,Jessica Spindler,1011834.96,11/01/1999,Emmet,80040.0,0.131
2381,1CLARC,2016-01-29,3.0,AAH01QDC9JC2,CP200D UHF 4W ND ANALOG,415.0,1CLARC,Hospitality,Skip Petrovich,11483.63,11/01/1999,Kent,1601574.0,0.421
2382,7CCECD,2016-02-08,1.0,STORM DAMAGE,EMERGENCY REPAIRS - MT MCSAUBA,1801.05,7CCECD,911 & Dispatch,Jessica Spindler,1011834.96,11/01/1999,Emmet,80040.0,0.131
2383,7CCECD,2016-02-08,1.0,7%,7% MANAGEMENT FEE,126.07,7CCECD,911 & Dispatch,Jessica Spindler,1011834.96,11/01/1999,Emmet,80040.0,0.131
2384,4BARPD,2016-06-10,1.0,RX2700CC,"CODE 3 RX2700CC 47"" LIGHTBAR",1600.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2385,4BARPD,2016-06-10,1.0,CCFDUVMC18,"TROY 18"" CONSOLE FORD INT SUV",425.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2386,4BARPD,2016-06-10,1.0,ACINBHG,"TROY 4"" INTL BEV HOLDER W/FNGR",50.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2387,4BARPD,2016-06-10,1.0,TRX6B,CODE3 T-REX LED LIGHTS,80.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2388,4BARPD,2016-06-10,1.0,TRX6R,CODE3 T-REX LED LIGHTS,80.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2389,4BARPD,2016-06-10,1.0,ENT2B3B,SOS INTERSECTOR UNDER MIRROR,150.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2390,4BARPD,2016-06-10,1.0,ENT2B3R,SOS INTERSECTOR UNDER MIRROR,150.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2391,4BARPD,2016-06-10,1.0,P4704UINT13A,PRO-GARD C/SLDE WNDW PARTITION,600.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2392,4BARPD,2016-06-10,1.0,RP47UINT13,PRO-GARD FORD UTILITY INTRCPTR,90.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2393,4BARPD,2016-06-10,1.0,SP47BS13,PRO-GARD LWR EXT PANEL BS,75.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2394,4BARPD,2016-06-10,1.0,S4705UINT13,PRO-GARD REAR SEAT/STEEL SCRN,1000.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2395,4BARPD,2016-06-10,1.0,WB47NPUINT13,PRO-GARD REAR WINDOW ARMOR,220.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2396,4BARPD,2016-06-10,1.0,MISC100,MISCELLANEOUS HARDWARE,100.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2397,4BARPD,2016-06-10,1.0,HAF4013,800 ANTENNA,60.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2398,4BARPD,2016-06-10,1.0,CMMCMTSALT17,TROY MC SWING-ARM LAPTOP MOUNT,525.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2399,4BARPD,2016-06-10,1.0,DS604DS,GUN RACK W/DUAL VERT. MOUNT,375.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2400,4BARPD,2016-06-10,1.0,PB47UINT16,PRO-GARD STD PUSH BUMPER,305.0,4BARPD,Law Enforcement,Tom Gillespie,43683.63,4/13/2001,Berrien,510290.0,0.291
2402,1HOLGA,2016-02-08,2.0,AAM28QPC9KA1,XPR5350 UHF MOBILE 40W 32CH,571.2,1HOLGA,Agriculture,Kelly Hoek,33410.67,11/01/1999,Ottawa,825673.0,0.309
2403,1HOLGA,2016-02-08,2.0,HAE4003,MOTO UNITY GAIN ANT KIT,18.28,1HOLGA,Agriculture,Kelly Hoek,33410.67,11/01/1999,Ottawa,825673.0,0.309
2404,1HOLGA,2016-02-08,1.0,AAM28QPC9KA1,XPR5350 UHF MOBILE 40W 32CH,571.2,1HOLGA,Agriculture,Kelly Hoek,33410.67,11/01/1999,Ottawa,825673.0,0.309
2405,1HOLGA,2016-02-08,1.0,HAE4003,MOTO UNITY GAIN ANT KIT,18.28,1HOLGA,Agriculture,Kelly Hoek,33410.67,11/01/1999,Ottawa,825673.0,0.309
2406,1COLQF,2016-01-29,3.0,PMMN4013,REMOTE SPEAKER MIC,70.0,1COLQF,Manufacturing,Pat McBride,23107.09,11/01/1999,Muskegon,281690.0,0.176
2407,1SUNMA,2016-02-08,2.0,AAH81QCN9NA2,MOTO SL7550 403-470 2W BT/GOB,799.0,1SUNMA,Healthcare,Kelly Hoek,64147.13,11/01/1999,Ottawa,825673.0,0.309
2408,7MACIO,2016-01-29,1.0,FTN6083,MOTO ELM DIN MOUNT KIT,40.0,7MACIO,Government Services,Jessica Spindler,23082.35,1/24/2002,Manistee,62275.0,0.39
2410,4WYCCH,2016-01-29,4.0,QA04950,OPT:IMP TIA4950 HAZLOC LIION,50.0,4WYCCH,Manufacturing,Tom Gillespie,46905.21,11/01/1999,Van Buren,165946.0,0.257
2411,4WYCCH,2016-01-29,2.0,QA04950,OPT:IMP TIA4950 HAZLOC LIION,50.0,4WYCCH,Manufacturing,Tom Gillespie,46905.21,11/01/1999,Van Buren,165946.0,0.257
2412,1OLITO,2016-02-08,1.0,CSB902W4KIT,SETCOM WRLS HDSET WITH BASE,722.5,1OLITO,Fire & EMS,Keith Johnson,21971.97,11/01/1999,Ottawa,825673.0,0.309
2413,1OLITO,2016-02-08,1.0,RC15MU5,SETCOM RADIO CABLE 15' FOR XPR,148.75,1OLITO,Fire & EMS,Keith Johnson,21971.97,11/01/1999,Ottawa,825673.0,0.309
2414,1OLITO,2016-02-08,1.0,RIM900BAL,SETCOM RADIO INTERFACE MODULE,204.0,1OLITO,Fire & EMS,Keith Johnson,21971.97,11/01/1999,Ottawa,825673.0,0.309
2415,1OLITO,2016-02-08,1.0,IM900,SETCOM INTERCOM / RADIO MIXER,386.75,1OLITO,Fire & EMS,Keith Johnson,21971.97,11/01/1999,Ottawa,825673.0,0.309
2416,1OLITO,2016-02-08,1.0,25073510,SETCOM CABLE,72.25,1OLITO,Fire & EMS,Keith Johnson,21971.97,11/01/1999,Ottawa,825673.0,0.309
2421,1FRECO,2016-01-29,1.0,AAM01QPC9JC1,MOTO CM200D 403-470 40W 16CH,488.0,1FRECO,Agriculture,Pat McBride,9394.38,4/12/2001,Newaygo,94629.0,0.167
2422,1FRECO,2016-01-29,1.0,HAE4003,MOTO UNITY GAIN ANT KIT,21.5,1FRECO,Agriculture,Pat McBride,9394.38,4/12/2001,Newaygo,94629.0,0.167
2423,1GNSAM,2016-02-08,3.0,AAH84RCS8AA1,BPR40 UHF 450-470 8CH 4W,200.0,1GNSAM,Manufacturing,Kelly Hoek,31677.26,12/30/2011,Ottawa,825673.0,0.309
2424,1GNSAM,2016-02-08,6.0,PMMN4029,REMOTE SPEAKER MIC/ IP57,63.75,1GNSAM,Manufacturing,Kelly Hoek,31677.26,12/30/2011,Ottawa,825673.0,0.309
2426,4LINTP,2016-08-05,1.0,P4704UINT13A,PRO-GARD C/SLDE WNDW PARTITION,600.0,4LINTP,Law Enforcement,Tom Gillespie,24077.13,11/01/1999,Berrien,510290.0,0.291
2427,4LINTP,2016-08-05,1.0,RP47UINT13,PRO-GARD FORD UTILITY INTRCPTR,110.0,4LINTP,Law Enforcement,Tom Gillespie,24077.13,11/01/1999,Berrien,510290.0,0.291
2428,4LINTP,2016-08-05,1.0,SP47BS13,PRO-GARD LWR EXT PANEL BS,90.0,4LINTP,Law Enforcement,Tom Gillespie,24077.13,11/01/1999,Berrien,510290.0,0.291
2429,4LINTP,2016-08-05,1.0,B4705UINT13,PRO-GARD CARGO BARRIER W/SA,400.0,4LINTP,Law Enforcement,Tom Gillespie,24077.13,11/01/1999,Berrien,510290.0,0.291
2430,4LINTP,2016-08-05,1.0,CVS1308INUT,"HAVIS 21"" CONSOLE",360.0,4LINTP,Law Enforcement,Tom Gillespie,24077.13,11/01/1999,Berrien,510290.0,0.291
2431,4LINTP,2016-08-05,1.0,CCUP2I,"HAVIS DUAL CUP HOLDER 4""",40.0,4LINTP,Law Enforcement,Tom Gillespie,24077.13,11/01/1999,Berrien,510290.0,0.291
2432,4LINTP,2016-08-05,1.0,CARM101,HAVIS TOP MNT ARM REST,90.0,4LINTP,Law Enforcement,Tom Gillespie,24077.13,11/01/1999,Berrien,510290.0,0.291
2433,4LINTP,2016-08-05,1.0,CHDM214,"HAVIS TELESCOPING 8.5"" POLE",110.0,4LINTP,Law Enforcement,Tom Gillespie,24077.13,11/01/1999,Berrien,510290.0,0.291
2434,4LINTP,2016-08-05,1.0,HAF4013,800 ANTENNA,43.0,4LINTP,Law Enforcement,Tom Gillespie,24077.13,11/01/1999,Berrien,510290.0,0.291
2435,4LINTP,2016-08-05,1.0,MISC150,MISCELLANEOUS HARDWARE,150.0,4LINTP,Law Enforcement,Tom Gillespie,24077.13,11/01/1999,Berrien,510290.0,0.291
2436,4LINTP,2016-08-05,1.0,RX2700CC,"CODE 3 RX2700CC 47"" LIGHTBAR",1600.0,4LINTP,Law Enforcement,Tom Gillespie,24077.13,11/01/1999,Berrien,510290.0,0.291
2437,1HERMI,2016-02-08,5.0,AAH01QDC9JA2,CP200D UHF 4W ND,391.0,1HERMI,Manufacturing,Kelly Hoek,77184.54,11/01/1999,Ottawa,825673.0,0.309
2438,7EMAMB,2016-02-08,1.0,AAH56JDN9KA1,XPR7550 VHF PORTABLE 5W 1000CH,905.0,7EMAMB,Fire & EMS,Jessica Spindler,119689.2,9/29/2014,Emmet,80040.0,0.131
2439,7WEYER,2016-02-08,1.0,AAH01QDC9JA2,CP200D UHF 4W ND,481.5,7WEYER,Manufacturing,Jessica Spindler,6313.9,11/01/1999,Crawford,5375.0,4.437
2440,7WEYER,2016-02-08,1.0,QA00531,MICROPHONE OPTION (PMMN4013),73.5,7WEYER,Manufacturing,Jessica Spindler,6313.9,11/01/1999,Crawford,5375.0,4.437
2442,1HANBT,2016-01-29,1.0,AAH01QDC9JA2,CP200D UHF 4W ND,466.0,1HANBT,Manufacturing,Skip Petrovich,4408.44,11/01/1999,Kent,1601574.0,0.421
2443,1GRABC,2016-02-08,1.0,AAH02RDC9JA2,MOTO XPR3300 403-512M 16CH,490.0,1GRABC,Colleges & Universities,Skip Petrovich,9291.41,11/01/1999,Kent,1601574.0,0.421
2446,1HILIT,2016-01-29,1.0,AAH01QDC9JA2,CP200D UHF 4W ND,435.0,1HILIT,Manufacturing,Pat McBride,67967.41,7/24/2012,Muskegon,281690.0,0.176
2447,1MASCI,2016-02-29,1.0,FILE CONSTRUCTION,FILE CONSTRUCTION NOTICE,250.0,1MASCI,K12 Education,Keith Johnson,14327.88,11/01/1999,Mason,88198.0,0.362
2460,1COAST,2016-02-19,5.0,AAH84KDJ8AA1,MOTO BPR40 16CH 5W 150-174 VHF,206.4,1COAST,Manufacturing,Kelly Hoek,6963.3,5/10/2011,Ottawa,825673.0,0.309
2461,1COAST,2016-02-19,5.0,PMMN4029,REMOTE SPEAKER MIC/ IP57,63.75,1COAST,Manufacturing,Kelly Hoek,6963.3,5/10/2011,Ottawa,825673.0,0.309
2463,1HOLEN,2016-02-19,1.0,AAH01JDC9JC2,CP200D VHF 5W ND ANALOG,339.5,1HOLEN,Manufacturing,Kelly Hoek,29821.95,11/01/1999,Ottawa,825673.0,0.309
2464,1HOLEN,2016-02-19,3.0,AAM01JNC9JA1,MOTO CM200D 136-174 25W MOBILE,397.0,1HOLEN,Manufacturing,Kelly Hoek,29821.95,11/01/1999,Ottawa,825673.0,0.309
2465,1LOCGC,2016-03-31,7.0,AAH02RDH9JA2,XPR3500 403-512 128CH LKP,540.0,1LOCGC,Hospitality,Jessica Spindler,5963.26,6/18/2003,Grand Traverse,215459.0,0.205
2466,1LOCGC,2016-03-31,1.0,WPLN4212,IMPRESS SIX UNIT GANG CHARGER,495.0,1LOCGC,Hospitality,Jessica Spindler,5963.26,6/18/2003,Grand Traverse,215459.0,0.205
2467,1LOCGC,2016-03-31,1.0,NLN7967,MULTI-UNIT WALL MOUNT CHARGER,21.0,1LOCGC,Hospitality,Jessica Spindler,5963.26,6/18/2003,Grand Traverse,215459.0,0.205
2473,4EDWFD,2016-02-12,1.0,AAM28JNN9KA1,XPR5550 VHF MOBILE 25W 1000CH,675.0,4EDWFD,911 & Dispatch,Tom Gillespie,27984.04,11/01/1999,Cass,121875.0,0.073
2474,1HERMI,2016-02-08,5.0,QA00531,MICROPHONE OPTION (PMMN4013),62.48,1HERMI,Manufacturing,Kelly Hoek,77184.54,11/01/1999,Ottawa,825673.0,0.309
2475,1MAGNA,2016-12-30,20.0,AAH01QDC9JA2,MOTO CP200D UHF 4W ND,380.0,1MAGNA,Manufacturing,Kelly Hoek,71257.75,12/22/2003,Ottawa,825673.0,0.309
2476,1MAGNA,2016-12-30,20.0,QA00531,MICROPHONE OPTION (PMMN4013),62.48,1MAGNA,Manufacturing,Kelly Hoek,71257.75,12/22/2003,Ottawa,825673.0,0.309
2477,1MOTUS,2016-02-29,6.0,AAH01QDC9JC2,CP200D UHF 4W ND ANALOG,337.0,1MOTUS,Manufacturing,Kelly Hoek,29438.58,12/24/2014,Ottawa,825673.0,0.309
2481,7MARMA,2016-02-12,3.0,AAH01JDC9JA2,CP200D VHF 5W ND,412.5,7MARMA,Manufacturing,Jessica Spindler,85206.71,11/01/1999,Manistee,62275.0,0.39
2483,1OLITO,2016-02-08,1.0,AAM28JQN9KA1,XPR5550 VHF MOBILE 45W 1000CH,650.0,1OLITO,Fire & EMS,Keith Johnson,21971.97,11/01/1999,Ottawa,825673.0,0.309
2484,1ALLFD,2016-02-19,2.0,A03JAC9JA1,MOTO M6 PAGER 143-174 MHZ,441.0,1ALLFD,Fire & EMS,Keith Johnson,14181.74,9/09/2005,Ottawa,825673.0,0.309
2489,7EMSHR,2016-03-31,5.0,21040110,MAGTEK MINI USB CARD READER,64.54,7EMSHR,Law Enforcement,Jessica Spindler,253015.27,11/01/1999,Emmet,80040.0,0.131
2491,1AMSEC,2016-09-29,2.0,T3000,MOTO MTR3000 BASE RADIO,2960.0,1AMSEC,Manufacturing,Pat McBride,113689.07,7/25/2014,Ottawa,825673.0,0.309
2492,1AMSEC,2016-09-29,2.0,X340MT,MOTO ADD:UHF 100W POWER,2720.0,1AMSEC,Manufacturing,Pat McBride,113689.07,7/25/2014,Ottawa,825673.0,0.309
2493,1AMSEC,2016-09-29,2.0,HKVN4110,MOTOTRBO LINKED CAP PLUS,4000.0,1AMSEC,Manufacturing,Pat McBride,113689.07,7/25/2014,Ottawa,825673.0,0.309
2494,1GUAPR,2016-02-29,1.0,AAH56RDC9KA1,XPR7350 UHF PORTABLE 4W 32CH,810.0,1GUAPR,Manufacturing,Kelly Hoek,35554.07,11/01/1999,Ottawa,825673.0,0.309
