ORDER #,CUSTOMER #,INVOICE DATE,QTY SHIPPED,ITEM #,DESCRIPTION,ITEM PRICE
17800,1EACCD,2015-12-31,180.0,CNT400,COMMSCOPE 400 TYPE COAX CABLE,1.0
17800,1EACCD,2015-12-31,2.0,GTHNFFAL,POLYPHASER DC TO 7 GHZ DC PASS,55.0
17800,1EACCD,2015-12-31,8.0,400BPNMC,COMMSCOPE N(M) CINTA-400 CONN,12.37
17800,1EACCD,2015-12-31,75.0,LMR400,"TIMES MICROWAVE 3/8"" COAXIAL",1.05
17800,1EACCD,2015-12-31,1.0,TC400NMCRA(A),TIMES N(M) RIGHT ANGLE/LMR-400,26.0
17800,1EACCD,2015-12-31,1.0,TC400NMC,N MALE-TIMES LMR400,10.75
17800,1EACCD,2015-12-31,10.0,SSH12,"STACKABLE SNAP-IN HANGERS 1/2""",22.85
17800,1EACCD,2015-12-31,10.0,SSHA38,"COMMSCOPE 3/8"" CABLE CUSHION",8.74
17800,1EACCD,2015-12-31,2.0,WSHG38P,"PRE-LACED HOISTING GRIP 3/8""",15.8
17800,1EACCD,2015-12-31,150.0,77168,WS #6 INSUL. GROUND WIRE,2.05
17800,1EACCD,2015-12-31,50.0,419550,GROUND LUG # 6  1/4 LONG-INCH,2.0
17800,1EACCD,2015-12-31,12.0,477563,"#6 1 HOLE, 3/8"" LNG BARREL LUG",2.0
17800,1EACCD,2015-12-31,6.0,GKFORM6038,"RFS 3/8"" GROUND KITS",28.06
17800,1EACCD,2015-12-31,65.0,219G,HARGER 219G STRNDD GROUND WIRE,2.6
17800,1EACCD,2015-12-31,3.0,441626,SS BOLT KIT 3/8 X 1-INCH-INCH,10.0
17800,1EACCD,2015-12-31,1.0,451953,"T30LL0M4 3/8"" X 1/16"" BLACK",62.0
17800,1EACCD,2015-12-31,2.0,RGBVKIT145872A,"HARGER GROUND BARS, BAR COPPER",99.15
17800,1EACCD,2015-12-31,1.0,ISB50HNC2ME,POLYPHASER COAXIAL PROTECTION,75.0
17800,1EACCD,2015-12-31,3.0,BFADAPTER,POLYPHASER BLKHD-FLNGE ADAPT,10.0
17800,1EACCD,2015-12-31,2.0,87838,"BUD IND 12-24 X 1/2"" SCREWS",12.35
17800,1EACCD,2015-12-31,2.0,SLIDESHELFD,"STARTECH 22""DEEP SLIDING SHELF",158.0
20690,4VILPD,2015-03-13,1.0,RRA4983,ANTENNA/ MOBILE 806-900 MHZ,60.0
20690,4VILPD,2015-03-13,1.0,MISC100,MISCELLANEOUS HARDWARE,100.0
20690,4VILPD,2015-03-13,1.0,LGDLPXDSCRT45,FED SIG LEGEND LPX DISCRETE,1100.0
20690,4VILPD,2015-03-13,1.0,CEB40CCS1P,HAVIS CENCOM SAPPHIRE FP,40.0
20690,4VILPD,2015-03-13,1.0,ENT2B3B,INTERSECTOR UNDER MIRROR BLUE,150.0
20690,4VILPD,2015-03-13,1.0,ENT2B3R,INTERSECTOR UNDER MIRROR RED,150.0
20690,4VILPD,2015-03-13,1.0,B4705UINT13,PRO-GARD CARGO BARRIER W/SA,400.0
20702,*700,2015-03-06,6.0,AAH73WCF9NA5,DTR650 1W 900MHZ DIGITAL PRTBL,265.0
20702,*700,2015-03-06,1.0,53960,DTR SERIES MUC,130.0
20702,*700,2015-03-06,1.0,HMN9051,CP SERIES REMOTE SPEAKER MIC,57.75
20260,1POKPP,2015-03-13,2.0,5340D,GO RHINO PUSH BUMPER-DUAL COAT,350.0
20260,1POKPP,2015-03-13,2.0,5340WHD,GO RHINO HD BLK BRUSHGUARD,320.0
20987,4BERSH,2015-01-23,1.0,RRA4983,ANTENNA/ MOBILE 806-900 MHZ,57.5
20987,4BERSH,2015-01-23,1.0,MISC50,MISCELLANEOUS HARDWARE,50.0
20866,7EMMCC,2015-02-27,1.0,F5218A,MOTO MW810 MOBILE WORKSTATION,2076.0
20866,7EMMCC,2015-02-27,1.0,VA00845,5.0M MW810 CPU-DISP.CBL,104.0
20866,7EMMCC,2015-02-27,1.0,VA00840,"KEYBOARD, US MW810",284.0
20866,7EMMCC,2015-02-27,1.0,VA00763,"OPT:8GB, DDR3, 1600MHZ",236.0
20866,7EMMCC,2015-02-27,1.0,VA00795,"12.1""XGA 500NIT DISPLAY",1116.0
20866,7EMMCC,2015-02-27,1.0,VA00822,ALT:WIN 7 PRO 32BIT OS,200.0
21035,4SOUHC,2015-03-27,1.0,AAM27QPR9JA7BN,XPR8400 UHF REPEATER 25-40W,2500.0
21035,4SOUHC,2015-03-27,3.0,0112004B04,CABLE  N-MALE/N-MALE  2',90.0
21035,4SOUHC,2015-03-27,1.0,IS50NXC2,IS50NXC2 FLANGE ARRESTOR,62.0
21035,4SOUHC,2015-03-27,1.0,815342006,JUMPER 6'  N MALE / N MALE,165.9
21035,4SOUHC,2015-03-27,1.0,FRX450,LAIRD 450-470 2.9DB OMNI ANT,240.0
21035,4SOUHC,2015-03-27,1.0,MISC100,MISCELLANEOUS HARDWARE,100.0
21035,4SOUHC,2015-03-27,1.0,DSCP10725TUNED,MOTO UHF DUPLEXER 406-500,450.0
21035,4SOUHC,2015-03-27,1.0,TOWER,TOWER CLIMB,750.0
20866,7EMMCC,2015-02-27,3.0,0180351A98,MOTO ANT MNT KIT W/MINI-UHF,25.0
21035,4SOUHC,2015-03-27,1.0,HKLN4456,MOTO DYNAMIC MODE UPGRADE,250.0
20866,7EMMCC,2015-02-27,2.0,RFT12022,"RF TNC MALE CONN RG58,RG141",6.0
20866,7EMMCC,2015-02-27,2.0,TRAB4503,LAIRD UHF BLACK 450-470MHZ ANT,70.0
20866,7EMMCC,2015-02-27,1.0,293100,EMERSON SMA MALE CRIMP RG58,5.25
21137,1EATSD,2015-01-23,6.0,AAM25RKF9DP6,CDM1550LS+  160CH  40W  MOBILE,704.0
